,house_id,tittle,city,price_act,price_first,details_1_desc,details_2_desc,details_3_desc,advertiser,datetime
0,94283285,Flat / apartment for sale in Zona Bahía Blanca,Cadiz,"750,000","750,000","['262 m² built', '6 bedrooms', '4 bathrooms', 'Terrace', 'Balcony', 'Additional parking space for € 35,000', 'Second hand/good condition', 'Fitted wardrobes', 'Orientation South, East', 'Built in 1973', 'Individual heating', '10th floor exterior', 'with lift']","['Air conditioning', 'en trámite']",[],Professional advertiser,2022-03-09 13:33:35.571467
1,89113690,Duplex for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"575,000","575,000","['135 m² built', '3 bedrooms', '3 bathrooms', 'Terrace', 'Parking space included in the price', 'Second hand/good condition', 'Fitted wardrobes', 'Storeroom', 'Built in 1998', 'Individual heating: Air conditioning/Heat pump', '2nd floor exterior', 'no lift']",['en trámite'],[],Professional advertiser,2022-03-09 13:33:35.571467
2,95291210,Flat / apartment for sale in Mentidero - Teatro Falla - Alameda,Cadiz,"320,000","320,000","['190 m² built', '8 bedrooms', '3 bathrooms', 'Second hand/good condition', 'Orientation North, West', 'Built in 1888', 'No heating', '1st floor exterior', 'no lift']",['en trámite'],[],Professional advertiser,2022-03-09 13:33:35.571467
3,96746079,"Flat / apartment for sale in Urb. alameda apodaca, Mentidero - Teatro Falla - Alameda",Cadiz,"390,000","390,000","['131 m² built, 117 m² floor area', '3 bedrooms', '2 bathrooms', 'Balcony', 'Second hand/good condition', 'Fitted wardrobes', 'Storeroom', 'Orientation South', 'Built in 1796', 'No heating', '3rd floor exterior', 'with lift']","['Air conditioning', 'en trámite']",[],Professional advertiser,2022-03-09 13:33:35.571467
4,96622572,"Flat / apartment for sale in Urb. Playa Santa María del Mar, Playa Stª Mª del Mar",Cadiz,"720,000","720,000","['168 m² built, 167 m² floor area', '3 bedrooms', '2 bathrooms', 'Second hand/good condition', 'Fitted wardrobes', 'Orientation South', 'Individual heating: Natural gas', '2nd floor exterior', 'with lift']",['en trámite'],[],Professional advertiser,2022-03-09 13:33:35.571467
5,94971680,Flat / apartment for sale in Centro Histórico - Plaza España,Cadiz,"327,500","327,500","['198 m² built', '4 bedrooms', '2 bathrooms', 'Balcony', 'Second hand/good condition', 'Fitted wardrobes', 'Orientation South, East', 'Built in 2003', 'Individual heating', '1st floor exterior', 'with lift']","['Air conditioning', 'Consumo: \n100 kWh/m² year', 'Emisiones: \n100 kg CO2/m² year']",[],Professional advertiser,2022-03-09 13:33:35.571467
6,84849222,Flat / apartment for sale in Playa Stª Mª del Mar,Cadiz,"375,000","375,000","['138 m² built', '4 bedrooms', '2 bathrooms', 'Terrace', 'Second hand/good condition', 'Fitted wardrobes', 'Built in 1982', 'Individual heating', '1st floor exterior', 'with lift']",['en trámite'],[],Professional advertiser,2022-03-09 13:33:35.571467
7,84635808,Flat / apartment for sale in Centro Histórico - Plaza España,Cadiz,"615,000","615,000","['296 m² built', '7 bedrooms', '3 bathrooms', 'Second hand/good condition', 'Fitted wardrobes', 'Built in 1888', '2nd floor exterior', 'no lift']",['en trámite'],[],Professional advertiser,2022-03-09 13:33:35.571467
8,95854107,Flat / apartment for sale in calle Obispo Urquinaona,"La Caleta - La Viña, Cadiz","170,000","170,000","['117 m² built, 101 m² floor area', '2 bedrooms', '2 bathrooms', 'Second hand/good condition', 'Storeroom', 'Built in 2021', 'No heating', 'Ground floor interior', 'with lift']","['Air conditioning', 'inmueble exento']",[],Professional advertiser,2022-03-09 13:33:35.571467
9,93809726,Flat / apartment for sale in Playa Victoria,Cadiz,"355,000","355,000","['128 m² built, 110 m² floor area', '3 bedrooms', '2 bathrooms', 'Terrace', 'Second hand/good condition', 'Built in 1969', 'No heating', '2nd floor', 'with lift']",['en trámite'],[],Professional advertiser,2022-03-09 13:33:35.571467
